id,type,name,status,description,epic,startTime,duration
1,TASK,Задача 0,NEW,Описание0,null,null,null
4,TASK,Задача 3,NEW,Описание3,null,2024-07-08T10:17:44.885313500,10
5,TASK,Задача 4,NEW,Описание4,null,null,null
6,TASK,Задача 5,NEW,Описание 5,null,null,null
9,TASK,Задача 8,NEW,Описание8,null,2024-07-08T09:17:44.898355900,10
2,EPIC,Эпик 1,NEW,Описаание эпика 1,null,2024-07-08T11:17:44.866378200,10
7,EPIC,Эпик 6,NEW,Описаание эпика 6,null,null,null
10,EPIC,Эпик 9,NEW,Описаание эпика 9,null,2024-07-08T14:17:44.898355900,60
3,SUBTASK,Подзадача 2,NEW,Описание подзадачи 2,2,2024-07-08T11:17:44.866378200,10
8,SUBTASK,Подзадача 7,NEW,Описание подзадачи 7,7,null,null
11,SUBTASK,Подзадача 10,NEW,Описание подзадачи 10,10,2024-07-08T14:17:44.898355900,30
12,SUBTASK,Подзадача 11,NEW,Описание подзадачи 11,10,2024-07-08T15:17:44.899364700,30
